,Bakery,Candied & Chocolate Covered Fruit,Candy & Chocolate,Coffee,Condiments & Sauces,Cooking & Baking Ingredients,Dairy Products,Dips & Spreads,Food Gift Baskets,Frozen Desserts & Novelties,Fruit Flavored Drinks,Fruits & Vegetables,"Grains, Rice & Cereal",Hot Chocolate,Juice,"Meat, Seafood & Eggs",Milk,Non-Dairy Milk,Nuts & Seeds,Pasta & Noodles,Powdered Beverage Mixes,Prepared Foods,Prepared Meals,Seasonings & Spices,Snack Foods,Soda,Soups & Broths,Sports & Energy Drinks,Tea & Infusions,"Tofu, Soy & Vegetarian Products",Vinegar Drinks,Water
Bakery,1.0,0.004422,0.399272,0.258941,0.552478,0.504877,0.631161,0.437118,0.00104,0.276759,0.211731,0.665886,0.459618,0.013136,0.357784,0.65197,0.470933,0.083756,0.195864,0.357134,0.072181,0.643777,0.002731,0.309273,0.679932,0.360775,0.225257,0.150345,0.205879,0.026792,0.001561,0.330212
Candied & Chocolate Covered Fruit,0.515152,1.0,0.409091,0.257576,0.378788,0.348485,0.484848,0.318182,0.0,0.363636,0.19697,0.515152,0.318182,0.060606,0.333333,0.409091,0.348485,0.121212,0.257576,0.257576,0.030303,0.560606,0.030303,0.212121,0.424242,0.242424,0.136364,0.075758,0.272727,0.015152,0.0,0.181818
Candy & Chocolate,0.632338,0.005561,1.0,0.268795,0.535942,0.507106,0.581256,0.438723,0.001648,0.30587,0.220185,0.605561,0.457467,0.017508,0.362719,0.579815,0.447786,0.083831,0.216272,0.354892,0.074562,0.576107,0.001236,0.301957,0.686509,0.377961,0.221009,0.157364,0.210093,0.030484,0.000618,0.334501
Coffee,0.530368,0.004529,0.347629,1.0,0.474427,0.447789,0.516249,0.374534,0.001598,0.233884,0.179275,0.533031,0.409696,0.015184,0.307405,0.51252,0.392914,0.08391,0.186201,0.304475,0.066063,0.500266,0.00293,0.267182,0.558071,0.303942,0.20032,0.122802,0.220298,0.026638,0.001066,0.290357
Condiments & Sauces,0.700643,0.004123,0.42916,0.293749,1.0,0.588323,0.694046,0.501072,0.00099,0.294244,0.234867,0.74567,0.527132,0.014514,0.40508,0.712519,0.515421,0.101105,0.230084,0.425367,0.087415,0.675573,0.002639,0.372093,0.7206,0.398153,0.271648,0.159657,0.228105,0.033152,0.001814,0.364671
Cooking & Baking Ingredients,0.69433,0.004114,0.440351,0.300662,0.63799,1.0,0.687176,0.491504,0.000894,0.292434,0.227508,0.732964,0.53139,0.013951,0.39814,0.683956,0.512788,0.102665,0.243606,0.417099,0.087462,0.632445,0.000537,0.396709,0.714005,0.388124,0.263459,0.15668,0.243606,0.032016,0.001967,0.355214
Dairy Products,0.745812,0.004918,0.433687,0.297833,0.646688,0.590441,1.0,0.5073,0.000768,0.306439,0.237437,0.780083,0.52359,0.014907,0.407715,0.75949,0.548947,0.100815,0.222222,0.415706,0.082219,0.702167,0.001844,0.365145,0.743507,0.412325,0.258183,0.16536,0.234517,0.031966,0.001383,0.372983
Dips & Spreads,0.764037,0.004774,0.484201,0.319618,0.690612,0.624687,0.750398,1.0,0.002046,0.344169,0.26847,0.781541,0.575358,0.018413,0.44601,0.75699,0.573994,0.117754,0.251421,0.464196,0.091839,0.716299,0.001137,0.386451,0.78336,0.434644,0.295976,0.180496,0.247784,0.040464,0.001591,0.401455
Food Gift Baskets,0.186047,0.0,0.186047,0.139535,0.139535,0.116279,0.116279,0.209302,1.0,0.046512,0.046512,0.186047,0.186047,0.0,0.069767,0.186047,0.116279,0.0,0.116279,0.093023,0.046512,0.162791,0.023256,0.069767,0.162791,0.0,0.023256,0.0,0.069767,0.0,0.0,0.139535
Frozen Desserts & Novelties,0.778632,0.008782,0.543359,0.321259,0.652763,0.598244,0.729601,0.55397,0.000732,1.0,0.299305,0.758873,0.563483,0.027076,0.479693,0.75375,0.59678,0.10794,0.252104,0.448591,0.087084,0.758141,0.004391,0.373948,0.750091,0.465789,0.290157,0.169777,0.267472,0.043908,0.002195,0.410904
