,Bakery,Beer & Liquor,Candied & Chocolate Covered Fruit,Candy & Chocolate,Coffee,Condiments & Sauces,Cooking & Baking Ingredients,Dairy Products,Dips & Spreads,Food Gift Baskets,Frozen Desserts & Novelties,Fruit Flavored Drinks,Fruits & Vegetables,"Grains, Rice & Cereal",Hot Chocolate,Juice,"Meat, Seafood & Eggs",Milk,Non-Dairy Milk,Nuts & Seeds,Pasta & Noodles,Powdered Beverage Mixes,Prepared Foods,Prepared Meals,Seasonings & Spices,Snack Foods,Soda,Soups & Broths,Sports & Energy Drinks,Tea & Infusions,"Tofu, Soy & Vegetarian Products",Vinegar Drinks,Water
All,0.244415,1.4e-05,0.000395,0.094677,0.04401,0.148526,0.119078,0.235006,0.076151,0.000237,0.045575,0.033812,0.41489,0.091514,0.001221,0.064686,0.285377,0.087232,0.011222,0.02926,0.05618,0.011372,0.224615,0.000426,0.04989,0.257881,0.081802,0.03366,0.028157,0.03248,0.003604,0.00024,0.056041
Bakery,1.0,0.0,0.000495,0.140631,0.046466,0.22977,0.16818,0.367221,0.123057,0.00011,0.077398,0.052239,0.58815,0.139178,0.001336,0.107429,0.441554,0.152834,0.016602,0.037131,0.087802,0.016894,0.292914,3.6e-05,0.065731,0.375026,0.117053,0.052154,0.037889,0.036488,0.005838,0.000121,0.078976
Beer & Liquor,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.016949,0.0,0.0,0.0,0.0,0.033898,0.0,0.0,0.0,0.016949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016949,0.016949,0.0,0.0,0.0,0.033898,0.0,0.0,0.0
Candied & Chocolate Covered Fruit,0.306171,0.0,1.0,0.150989,0.038945,0.147993,0.103056,0.30018,0.097663,0.002996,0.069503,0.038346,0.476932,0.111444,0.005392,0.095866,0.338526,0.137807,0.011384,0.03595,0.050929,0.001198,0.254643,0.0,0.062912,0.247454,0.043739,0.032954,0.005392,0.02876,0.008987,0.0,0.054524
Candy & Chocolate,0.36305,0.0,0.00063,1.0,0.045855,0.202463,0.153787,0.323624,0.1113,0.000107,0.083227,0.050313,0.518723,0.127838,0.001697,0.103983,0.384736,0.143316,0.014881,0.038681,0.075753,0.013657,0.269782,3.7e-05,0.056168,0.359809,0.111257,0.046085,0.032756,0.034205,0.0059,0.000145,0.071679
Coffee,0.258058,0.0,0.000349,0.098647,1.0,0.164599,0.123742,0.266692,0.089121,0.000102,0.053474,0.036819,0.407352,0.101405,0.001505,0.072854,0.300437,0.107588,0.014053,0.031771,0.059167,0.011467,0.196257,4.8e-05,0.047883,0.256553,0.07831,0.038798,0.026637,0.030186,0.004392,0.000113,0.062366
Condiments & Sauces,0.378108,0.0,0.000393,0.129058,0.048772,1.0,0.189448,0.382758,0.128628,9.9e-05,0.073059,0.052554,0.601195,0.142979,0.001179,0.106415,0.454715,0.146353,0.017904,0.040756,0.097773,0.019356,0.286775,3.3e-05,0.079823,0.371582,0.119095,0.058874,0.039183,0.038674,0.005747,0.000175,0.083558
Cooking & Baking Ingredients,0.3452,0.0,0.000342,0.122273,0.045733,0.236299,1.0,0.358337,0.118822,7.7e-05,0.067714,0.047069,0.567782,0.137002,0.000985,0.096815,0.405694,0.135988,0.0187,0.042906,0.086251,0.01909,0.244308,5.2e-05,0.084876,0.343821,0.108768,0.054005,0.036079,0.037546,0.004776,0.000207,0.076983
Dairy Products,0.381924,1e-06,0.000504,0.130378,0.049944,0.241908,0.18157,1.0,0.127314,0.000128,0.074838,0.052018,0.626361,0.142101,0.001243,0.106385,0.45351,0.152686,0.018942,0.041959,0.089473,0.017171,0.281586,5.1e-05,0.073564,0.369546,0.112643,0.054491,0.037819,0.037607,0.005567,0.000157,0.082072
Dips & Spreads,0.394963,0.0,0.000506,0.138377,0.051506,0.250879,0.185803,0.392897,1.0,0.00013,0.078091,0.054671,0.608588,0.150164,0.001289,0.110064,0.446441,0.153752,0.021406,0.043499,0.093545,0.018256,0.292828,3.1e-05,0.07394,0.394183,0.118163,0.056222,0.040225,0.039466,0.007081,0.000162,0.084131
