,American Restaurants,Asian Restaurants,BBQ Restaurants,Bakeries,Bar Food,British Restaurants,Burgers,Cafes,Chinese Restaurants,Coffee Shops,Diners,Greek Restaurants,Ice Cream,Indian Restaurants,Italian Restaurants,Japanese Restaurants,Korean Restaurants,Latin American Restaurants,Mediterranean Restaurants,Mexican Restaurants,Middle Eastern Restaurants,Pizza,Pubs,Sandwiches,Seafood Restaurants,Steakhouse,Sushi,Thai Restaurants,Vegetarian Restaurants
All,0.221663,0.035529,0.005281,0.030161,0.00796,0.000102,0.111091,0.006463,0.043857,0.009936,0.002785,0.000926,0.000352,0.023184,0.035699,0.011821,0.000475,0.013259,0.002445,0.071225,0.002976,0.365069,0.001096,0.107291,0.00955,0.002732,0.012612,0.005941,0.00024
American Restaurants,1.0,0.01532,0.002721,0.012637,0.004153,3.1e-05,0.082202,0.003469,0.018436,0.004909,0.001885,0.000644,0.000257,0.005971,0.015308,0.004778,0.000147,0.007661,0.00113,0.037643,0.000802,0.066395,9.6e-05,0.045936,0.00529,0.001013,0.004991,0.002195,0.00013
Asian Restaurants,0.09558,1.0,0.005844,0.012475,0.004722,8e-05,0.035575,0.004788,0.068078,0.007246,0.001429,0.000955,0.000321,0.020522,0.016302,0.022806,0.000574,0.021871,0.002044,0.037899,0.002471,0.046862,6e-05,0.035949,0.010826,0.000554,0.018713,0.012148,0.000321
BBQ Restaurants,0.114211,0.039313,1.0,0.011592,0.007189,0.000135,0.03819,0.006425,0.047985,0.005077,0.002246,0.001213,0.000225,0.007683,0.021881,0.01276,0.000674,0.010379,0.002875,0.037247,0.002067,0.061913,0.000315,0.041515,0.012221,0.002965,0.00975,0.006605,0.000315
Bakeries,0.092874,0.014695,0.00203,1.0,0.002431,1.6e-05,0.032025,0.01073,0.014821,0.013602,0.001274,0.000747,0.000409,0.004099,0.015844,0.00391,0.000126,0.007576,0.001156,0.033441,0.000496,0.054367,4.7e-05,0.048459,0.004696,0.00092,0.005294,0.002195,7.9e-05
Bar Food,0.115648,0.021073,0.004769,0.00921,1.0,8.9e-05,0.036692,0.003577,0.021043,0.003696,0.001788,0.002027,0.000268,0.006021,0.02304,0.008256,0.000358,0.007511,0.002981,0.035499,0.001967,0.087034,0.000298,0.050164,0.008107,0.000954,0.006766,0.00307,0.000149
British Restaurants,0.067285,0.027842,0.006961,0.00464,0.006961,1.0,0.041763,0.0,0.044084,0.0,0.0,0.0,0.009281,0.046404,0.013921,0.0,0.0,0.00464,0.00232,0.011601,0.030162,0.081206,0.027842,0.006961,0.00232,0.0,0.00232,0.00232,0.0
Burgers,0.16402,0.011378,0.001815,0.008695,0.002629,3.8e-05,1.0,0.002435,0.01251,0.003697,0.001679,0.00032,0.00015,0.004084,0.00968,0.003413,0.000179,0.004532,0.000754,0.025207,0.000918,0.063438,0.000103,0.04218,0.002943,0.000839,0.003058,0.001247,5.8e-05
Cafes,0.118984,0.026323,0.00525,0.050075,0.004405,0.0,0.041852,1.0,0.020706,0.01887,0.001322,0.001101,0.000477,0.005617,0.020008,0.005911,0.000404,0.016117,0.003341,0.04835,0.001615,0.054921,0.00011,0.051287,0.009325,0.001028,0.008224,0.003891,0.000147
Chinese Restaurants,0.093179,0.055151,0.005778,0.010193,0.00382,0.000103,0.031687,0.003051,1.0,0.005307,0.002218,0.000655,0.000222,0.018881,0.014737,0.016523,0.00053,0.012075,0.001217,0.038753,0.001396,0.052954,4.3e-05,0.034739,0.00923,0.000617,0.014034,0.010187,0.000276
Coffee Shops,0.109511,0.025909,0.002698,0.041288,0.002961,0.0,0.041335,0.012274,0.023426,1.0,0.00203,0.000812,0.000382,0.006042,0.015689,0.00757,0.000191,0.013635,0.001528,0.045228,0.000884,0.047496,9.6e-05,0.055042,0.0048,0.00031,0.007904,0.004227,0.000167
Diners,0.150013,0.01823,0.004259,0.0138,0.005111,0.0,0.066956,0.003067,0.034926,0.007241,1.0,0.000681,0.000852,0.012608,0.017208,0.008433,0.001789,0.006133,0.001193,0.055201,0.001619,0.063804,0.0,0.05503,0.005793,0.001193,0.007582,0.003152,0.000596
Greek Restaurants,0.154319,0.036657,0.006921,0.024353,0.017431,0.0,0.038452,0.00769,0.031018,0.008716,0.002051,1.0,0.000256,0.01333,0.069982,0.015124,0.000256,0.028454,0.017688,0.071264,0.019482,0.116893,0.0,0.105101,0.019226,0.000256,0.013586,0.004614,0.001538
Ice Cream,0.161725,0.032345,0.003369,0.03504,0.006065,0.002695,0.04717,0.00876,0.027628,0.010782,0.006739,0.000674,1.0,0.019542,0.022911,0.010782,0.0,0.023585,0.002022,0.063342,0.004043,0.061995,0.024933,0.074124,0.004043,0.0,0.006739,0.002022,0.000674
Indian Restaurants,0.057086,0.03145,0.00175,0.005332,0.002067,0.000205,0.019568,0.001566,0.035717,0.002589,0.001515,0.000532,0.000297,1.0,0.009078,0.006355,0.000512,0.0083,0.001699,0.014522,0.005312,0.035768,0.000205,0.018524,0.004022,0.000113,0.004616,0.006233,0.000573
Italian Restaurants,0.09505,0.016224,0.003237,0.013386,0.005138,4e-05,0.030121,0.003622,0.018105,0.004367,0.001343,0.001814,0.000226,0.005895,1.0,0.005895,0.000193,0.008507,0.002572,0.037167,0.001156,0.080461,7.3e-05,0.043713,0.007171,0.00107,0.006148,0.002552,0.000273
Japanese Restaurants,0.089603,0.068547,0.005701,0.009976,0.00556,0.0,0.032075,0.003232,0.061301,0.006363,0.001987,0.001184,0.000321,0.012465,0.017804,1.0,0.000984,0.016018,0.003312,0.039683,0.002228,0.048535,6e-05,0.036632,0.019731,0.000803,0.05277,0.012766,0.000361
Korean Restaurants,0.068397,0.042936,0.007489,0.007988,0.005991,0.0,0.041937,0.005492,0.048927,0.003994,0.010484,0.000499,0.0,0.024963,0.014478,0.024463,1.0,0.004493,0.003994,0.023964,0.003994,0.035946,0.0,0.025462,0.013979,0.0,0.012981,0.010484,0.000499
Latin American Restaurants,0.128073,0.058606,0.004134,0.017233,0.00451,3.6e-05,0.037973,0.007856,0.039941,0.010218,0.001288,0.001986,0.000626,0.014513,0.022905,0.01428,0.000161,1.0,0.002577,0.070488,0.002845,0.0408,7.2e-05,0.038939,0.010683,0.000429,0.01505,0.005333,0.000304
Mediterranean Restaurants,0.102465,0.029691,0.00621,0.014264,0.009703,9.7e-05,0.034252,0.00883,0.021832,0.00621,0.001358,0.006695,0.000291,0.016107,0.037551,0.01601,0.000776,0.013972,1.0,0.046478,0.010382,0.07025,9.7e-05,0.060547,0.013196,0.001455,0.015331,0.005434,0.000582
Mexican Restaurants,0.117151,0.018905,0.002762,0.014161,0.003968,1.7e-05,0.039316,0.004387,0.023862,0.006309,0.002159,0.000926,0.000313,0.004727,0.018629,0.006586,0.00016,0.013122,0.001596,1.0,0.000813,0.065716,1.7e-05,0.047534,0.006633,0.000913,0.008375,0.003308,0.0002
