,Bakery,Beer & Liquor,Candied & Chocolate Covered Fruit,Candy & Chocolate,Coffee,Condiments & Sauces,Cooking & Baking Ingredients,Dairy Products,Dips & Spreads,Food Gift Baskets,Frozen Desserts & Novelties,Fruit Flavored Drinks,Fruits & Vegetables,"Grains, Rice & Cereal",Hot Chocolate,Juice,"Meat, Seafood & Eggs",Milk,Non-Dairy Milk,Nuts & Seeds,Pasta & Noodles,Powdered Beverage Mixes,Prepared Foods,Prepared Meals,Seasonings & Spices,Snack Foods,Soda,Soups & Broths,Sports & Energy Drinks,Tea & Infusions,"Tofu, Soy & Vegetarian Products",Vinegar Drinks,Water
Bakery,1.0,4e-06,0.001083,0.162839,0.065963,0.246752,0.191321,0.328943,0.160071,0.000204,0.108741,0.076226,0.377408,0.176818,0.002587,0.143834,0.355942,0.193577,0.026502,0.05494,0.124786,0.024904,0.247791,8.1e-05,0.093989,0.309728,0.138087,0.078449,0.053295,0.05341,0.009513,0.000239,0.108067
Beer & Liquor,4e-06,1.0,0.0,2e-06,9e-06,5e-06,2e-06,7e-06,7e-06,0.0,0.0,0.0,2e-06,1e-06,0.0,4e-06,3e-06,2e-06,0.0,4e-06,5e-06,1.2e-05,6e-06,0.0,5e-06,6e-06,9e-06,8e-06,1.8e-05,1.2e-05,0.0,0.0,5e-06
Candied & Chocolate Covered Fruit,0.001083,0.0,1.0,0.001503,0.000816,0.000964,0.000841,0.001065,0.001195,0.001522,0.001451,0.001257,0.000964,0.001253,0.002351,0.001553,0.001024,0.001512,0.001091,0.001229,0.001122,0.000238,0.000936,0.000249,0.000953,0.000925,0.000662,0.000828,0.000185,0.000865,0.002488,0.000514,0.00079
Candy & Chocolate,0.162839,2e-06,0.001503,1.0,0.052973,0.131619,0.113649,0.152962,0.106664,0.000246,0.094579,0.06274,0.15282,0.112737,0.003359,0.106147,0.153959,0.127907,0.022641,0.050462,0.084093,0.019482,0.122316,6.8e-05,0.063851,0.155126,0.095756,0.058393,0.041256,0.043158,0.010178,0.000266,0.076142
Coffee,0.065963,9e-06,0.000816,0.052973,1.0,0.064358,0.057872,0.070506,0.055887,0.00019,0.045718,0.035569,0.064637,0.056797,0.002888,0.051793,0.066957,0.062598,0.019155,0.03309,0.045455,0.014235,0.051641,0.000178,0.039792,0.062062,0.045552,0.038324,0.026833,0.029945,0.007089,0.000214,0.046566
Condiments & Sauces,0.246752,5e-06,0.000964,0.131619,0.064358,1.0,0.178532,0.258912,0.147402,0.000186,0.096246,0.072908,0.272213,0.156425,0.002496,0.128578,0.26943,0.162991,0.028681,0.057508,0.125634,0.027379,0.186998,9.8e-05,0.101624,0.229485,0.122212,0.082877,0.052561,0.052899,0.010208,0.000313,0.102513
Cooking & Baking Ingredients,0.191321,2e-06,0.000841,0.113649,0.057872,0.178532,1.0,0.206606,0.123713,0.000188,0.083262,0.061952,0.213879,0.137274,0.002218,0.107724,0.201204,0.136694,0.028218,0.05915,0.104287,0.026989,0.13654,6.8e-05,0.103762,0.179072,0.101179,0.072671,0.046018,0.049776,0.008988,0.000342,0.08805
Dairy Products,0.328943,7e-06,0.001065,0.152962,0.070506,0.258912,0.206606,1.0,0.165995,0.000217,0.106665,0.075979,0.398072,0.180053,0.002461,0.143134,0.365333,0.194801,0.029692,0.06157,0.127818,0.025609,0.237638,9.8e-05,0.104312,0.300944,0.133843,0.082228,0.05388,0.05507,0.009658,0.000272,0.113078
Dips & Spreads,0.160071,7e-06,0.001195,0.106664,0.055887,0.147402,0.123713,0.165995,1.0,0.000262,0.085977,0.065344,0.158944,0.120889,0.002832,0.104759,0.161402,0.128758,0.031314,0.053886,0.096141,0.024965,0.121052,9.1e-05,0.077768,0.149101,0.092317,0.069384,0.047186,0.046243,0.01215,0.000255,0.08407
Food Gift Baskets,0.000204,0.0,0.001522,0.000246,0.00019,0.000186,0.000188,0.000217,0.000262,1.0,0.000256,0.000188,0.000203,0.000185,0.000461,0.000268,0.000199,0.000302,0.000169,0.000302,0.000199,7e-05,0.000189,0.000162,0.000225,0.000146,9.9e-05,0.000216,5.5e-05,0.000206,0.000372,0.00076,0.000188
Frozen Desserts & Novelties,0.108741,0.0,0.001451,0.094579,0.045718,0.096246,0.083262,0.106665,0.085977,0.000256,1.0,0.059232,0.099342,0.086084,0.003729,0.088386,0.104725,0.102109,0.025478,0.043999,0.071982,0.021201,0.085228,0.000126,0.053952,0.09575,0.074849,0.054718,0.038277,0.039167,0.011103,0.000303,0.065044
