,African Restaurants,American Restaurants,Asian Restaurants,BBQ Restaurants,Bakeries,Bar Food,Brazilian Restaurants,British Restaurants,Burgers,Cafes,Chinese Restaurants,Coffee Shops,Diners,French Restaurants,Greek Restaurants,Ice Cream,Indian Restaurants,Italian Restaurants,Japanese Restaurants,Korean Restaurants,Latin American Restaurants,Mediterranean Restaurants,Mexican Restaurants,Middle Eastern Restaurants,Pizza,Pubs,Sandwiches,Seafood Restaurants,Steakhouse,Sushi,Thai Restaurants,Vegetarian Restaurants
All,0.000187,0.22238,0.068244,0.00533,0.026952,0.007936,8e-05,0.002167,0.126377,0.004845,0.047379,0.00753,0.001275,0.000245,0.00159,0.001398,0.034616,0.038644,0.013789,0.000752,0.003979,0.003979,0.08163,0.004971,0.330748,0.003229,0.125386,0.010359,0.002543,0.010052,0.00747,0.000478
African Restaurants,1.0,0.053704,0.012963,0.001852,0.012963,0.001852,0.0,0.002778,0.042593,0.001852,0.017593,0.00463,0.0,0.0,0.000926,0.001852,0.018519,0.013889,0.002778,0.000926,0.000926,0.000926,0.025926,0.005556,0.121296,0.0,0.024074,0.002778,0.000926,0.002778,0.00463,0.000926
American Restaurants,4.5e-05,1.0,0.023603,0.002989,0.016562,0.005445,3.3e-05,0.000488,0.116479,0.003191,0.023438,0.004553,0.001372,0.000116,0.001305,0.001006,0.007471,0.022436,0.006942,0.000421,0.00385,0.001858,0.051615,0.001362,0.081346,0.000393,0.073724,0.007141,0.001598,0.005243,0.003348,0.000366
Asian Restaurants,3.5e-05,0.076911,1.0,0.007473,0.009254,0.006275,0.000195,0.000922,0.05231,0.002338,0.065073,0.007646,0.000583,0.000134,0.001079,0.001996,0.03326,0.019828,0.020961,0.000922,0.004461,0.002665,0.036563,0.003243,0.050603,0.000281,0.037042,0.008456,0.000993,0.010797,0.011661,0.000421
BBQ Restaurants,6.5e-05,0.124716,0.095686,1.0,0.012293,0.010185,9.7e-05,0.001881,0.060655,0.004379,0.060623,0.005709,0.00107,0.000162,0.001589,0.001395,0.016121,0.02637,0.017645,0.000811,0.004249,0.004184,0.039637,0.003892,0.074213,0.002271,0.048654,0.014239,0.002465,0.008758,0.007395,0.000908
Bakeries,9e-05,0.136656,0.023432,0.002431,1.0,0.004048,1.3e-05,0.001187,0.049444,0.010982,0.020174,0.010122,0.001373,0.000103,0.00136,0.001616,0.006934,0.023214,0.006004,0.000462,0.003868,0.001944,0.053164,0.00109,0.069868,0.001347,0.083505,0.00721,0.001347,0.005151,0.00347,0.000436
Bar Food,4.4e-05,0.152579,0.05396,0.00684,0.013746,1.0,0.0,0.000915,0.06714,0.003529,0.030324,0.005446,0.001525,6.5e-05,0.002832,0.001285,0.012831,0.029278,0.009346,0.000545,0.007363,0.003268,0.052109,0.002941,0.098684,0.000806,0.062914,0.010827,0.001873,0.006318,0.003725,0.000632
Brazilian Restaurants,0.0,0.091304,0.167391,0.006522,0.004348,0.0,1.0,0.0,0.091304,0.004348,0.171739,0.006522,0.0,0.002174,0.0,0.0,0.008696,0.015217,0.01087,0.0,0.0,0.0,0.032609,0.004348,0.021739,0.0,0.030435,0.01087,0.0,0.004348,0.0,0.0
British Restaurants,0.000239,0.050096,0.029036,0.004627,0.014757,0.00335,0.0,1.0,0.048022,0.002792,0.021378,0.002393,0.000239,0.0,0.000558,0.005664,0.034939,0.014917,0.004786,0.000638,0.00016,0.00686,0.011327,0.015715,0.071315,0.068682,0.021937,0.005504,0.001755,0.001994,0.002553,0.000957
Burgers,6.3e-05,0.204963,0.028248,0.002558,0.010544,0.004216,5.7e-05,0.000824,1.0,0.002271,0.018758,0.004492,0.001036,6e-05,0.000803,0.001118,0.007988,0.014618,0.005155,0.000357,0.002007,0.001688,0.036325,0.002257,0.076042,0.00077,0.06786,0.004304,0.001077,0.0033,0.002134,0.000235
Cafes,7.1e-05,0.146482,0.032936,0.004817,0.06109,0.005781,7.1e-05,0.001249,0.059235,1.0,0.027334,0.028939,0.001749,7.1e-05,0.002926,0.002426,0.009563,0.027833,0.009385,0.000821,0.006031,0.005745,0.058735,0.002284,0.064766,0.000214,0.085712,0.012347,0.002177,0.008386,0.005246,0.000821
Chinese Restaurants,6.9e-05,0.110007,0.093729,0.00682,0.011476,0.005079,0.000288,0.000978,0.050034,0.002795,1.0,0.005532,0.001098,0.000179,0.001408,0.001073,0.032216,0.022032,0.022401,0.001003,0.0054,0.002616,0.046159,0.003145,0.064166,0.000474,0.046819,0.012012,0.001197,0.013625,0.013691,0.000496
Coffee Shops,0.000115,0.134445,0.069289,0.004041,0.036228,0.00574,6.9e-05,0.000689,0.075395,0.018619,0.034805,1.0,0.002273,0.000207,0.001561,0.002158,0.013385,0.023716,0.01265,0.000758,0.006382,0.002457,0.051886,0.001745,0.05937,0.000207,0.082949,0.00737,0.0014,0.007714,0.006612,0.000321
Diners,0.0,0.239387,0.031195,0.004476,0.029025,0.009494,0.0,0.000407,0.102672,0.006646,0.040825,0.013427,1.0,0.000271,0.002713,0.004205,0.007595,0.034314,0.013563,0.000814,0.009494,0.001763,0.093042,0.001899,0.082327,0.000543,0.096026,0.012885,0.001763,0.009765,0.005561,0.000407
French Restaurants,0.0,0.105152,0.037403,0.003529,0.011291,0.002117,0.000706,0.0,0.031052,0.001411,0.03458,0.006351,0.001411,1.0,0.004234,0.0,0.013409,0.031757,0.01976,0.002117,0.002117,0.007057,0.072689,0.003529,0.058574,0.0,0.052929,0.010586,0.00494,0.017643,0.00988,0.000706
Greek Restaurants,0.000109,0.182451,0.046319,0.005328,0.023051,0.014135,0.0,0.000761,0.063825,0.008916,0.04197,0.007394,0.002175,0.000652,1.0,0.001087,0.019463,0.058932,0.020876,0.000761,0.023595,0.028161,0.081331,0.015005,0.092965,0.0,0.099706,0.02142,0.003044,0.015875,0.009568,0.00261
