,African Restaurants,American Restaurants,Asian Restaurants,BBQ Restaurants,Bakeries,Bar Food,Brazilian Restaurants,British Restaurants,Burgers,Cafes,Chinese Restaurants,Coffee Shops,Diners,French Restaurants,Greek Restaurants,Ice Cream,Indian Restaurants,Italian Restaurants,Japanese Restaurants,Korean Restaurants,Latin American Restaurants,Mediterranean Restaurants,Mexican Restaurants,Middle Eastern Restaurants,Pizza,Pubs,Sandwiches,Seafood Restaurants,Steakhouse,Sushi,Thai Restaurants,Vegetarian Restaurants
African Restaurants,1.0,4.5e-05,3.5e-05,6.3e-05,8.9e-05,4.3e-05,0.0,0.00022,6.3e-05,6.9e-05,6.9e-05,0.000112,0.0,0.0,9.7e-05,0.000218,9.9e-05,6.7e-05,3.7e-05,0.000184,4.2e-05,4.2e-05,5.9e-05,0.000201,6.8e-05,0.0,3.6e-05,4.9e-05,6.3e-05,5.1e-05,0.000113,0.00026
American Restaurants,4.5e-05,1.0,0.018392,0.002928,0.014993,0.005285,3.3e-05,0.000484,0.08023,0.003133,0.019702,0.004423,0.001366,0.000116,0.001297,0.001001,0.006507,0.019487,0.00658,0.00042,0.003796,0.001829,0.039238,0.001334,0.03381,0.000387,0.049476,0.00687,0.001583,0.005041,0.00325,0.000366
Asian Restaurants,3.5e-05,0.018392,1.0,0.00698,0.006678,0.005653,0.000195,0.000895,0.018685,0.002188,0.039942,0.006933,0.000572,0.000134,0.001056,0.00196,0.022565,0.012822,0.017747,0.000913,0.004233,0.002525,0.016931,0.003032,0.008731,0.000269,0.013228,0.007396,0.000958,0.0095,0.010622,0.000418
BBQ Restaurants,6.3e-05,0.002928,0.00698,1.0,0.002034,0.004109,9.6e-05,0.001339,0.002461,0.002299,0.006168,0.002372,0.000865,0.000155,0.001226,0.001106,0.002156,0.003207,0.004943,0.000711,0.002439,0.002402,0.002435,0.002018,0.001178,0.001416,0.001988,0.004861,0.001672,0.003044,0.003089,0.000834
Bakeries,8.9e-05,0.014993,0.006678,0.002034,1.0,0.003137,1.3e-05,0.0011,0.008767,0.009396,0.007369,0.007975,0.001312,0.000102,0.001286,0.001539,0.003045,0.00963,0.003988,0.00045,0.003382,0.001696,0.013373,0.000922,0.005292,0.001204,0.014995,0.005236,0.001232,0.003766,0.002725,0.000429
Bar Food,4.3e-05,0.005285,0.005653,0.004109,0.003137,1.0,0.0,0.000719,0.003983,0.002196,0.00437,0.002802,0.001316,6.3e-05,0.002365,0.001094,0.002399,0.005013,0.003426,0.000498,0.004928,0.002181,0.004639,0.001811,0.002318,0.000573,0.003759,0.004719,0.001421,0.002795,0.001923,0.000596
Brazilian Restaurants,0.0,3.3e-05,0.000195,9.6e-05,1.3e-05,0.0,1.0,0.0,5.7e-05,7e-05,0.000288,6.8e-05,0.0,0.000533,0.0,0.0,2e-05,3.1e-05,6.2e-05,0.0,0.0,0.0,3.2e-05,6.8e-05,5e-06,0.0,1.9e-05,8.3e-05,0.0,3.4e-05,0.0,0.0
British Restaurants,0.00022,0.000484,0.000895,0.001339,0.0011,0.000719,0.0,1.0,0.00081,0.000864,0.000936,0.000535,0.000151,0.0,0.000322,0.003455,0.002063,0.000793,0.00065,0.000474,5.6e-05,0.002425,0.000293,0.004794,0.000464,0.028365,0.000373,0.000953,0.000808,0.000354,0.000574,0.000785
Burgers,6.3e-05,0.08023,0.018685,0.002461,0.008767,0.003983,5.7e-05,0.00081,1.0,0.002192,0.013832,0.004258,0.001026,6e-05,0.000794,0.001107,0.00631,0.011322,0.004669,0.000355,0.001949,0.001639,0.022568,0.002176,0.021474,0.000752,0.035265,0.003994,0.001056,0.003066,0.002019,0.000234
Cafes,6.9e-05,0.003133,0.002188,0.002299,0.009396,0.002196,7e-05,0.000864,0.002192,1.0,0.002542,0.01146,0.001386,6.8e-05,0.002208,0.001887,0.001176,0.00311,0.002446,0.000711,0.003322,0.003164,0.003302,0.001128,0.000936,0.000128,0.003199,0.00395,0.00143,0.002735,0.002068,0.000748
