,American Restaurants,Asian Restaurants,BBQ Restaurants,Bakeries,Bar Food,British Restaurants,Burgers,Cafes,Chinese Restaurants,Coffee Shops,Diners,Greek Restaurants,Ice Cream,Indian Restaurants,Italian Restaurants,Japanese Restaurants,Korean Restaurants,Latin American Restaurants,Mediterranean Restaurants,Mexican Restaurants,Middle Eastern Restaurants,Pizza,Pubs,Sandwiches,Seafood Restaurants,Steakhouse,Sushi,Thai Restaurants,Vegetarian Restaurants
American Restaurants,1.0,0.113749,0.029108,0.089202,0.061301,0.000805,0.383434,0.030114,0.143461,0.031455,0.02884,0.007311,0.002884,0.034675,0.145741,0.044199,0.002951,0.028236,0.012475,0.229108,0.012609,0.368209,0.005231,0.318511,0.056405,0.011804,0.03662,0.025084,0.001744
Asian Restaurants,0.497507,1.0,0.044881,0.100029,0.058962,0.00088,0.276034,0.041654,0.429158,0.043121,0.028747,0.010854,0.004107,0.091816,0.173658,0.153417,0.008214,0.056028,0.019654,0.254327,0.024934,0.342036,0.003227,0.283661,0.093869,0.010267,0.11323,0.10971,0.003813
BBQ Restaurants,0.58728,0.207037,1.0,0.100135,0.082544,0.006766,0.316644,0.047361,0.274696,0.046008,0.036536,0.017591,0.00406,0.046008,0.221922,0.08525,0.009472,0.054127,0.023004,0.304465,0.013532,0.433018,0.016238,0.315291,0.113667,0.031123,0.071719,0.051421,0.001353
Bakeries,0.530938,0.136128,0.029541,1.0,0.061477,0.000399,0.293413,0.099002,0.169261,0.095409,0.042315,0.00998,0.00519,0.031138,0.190419,0.051497,0.005988,0.041517,0.01517,0.271058,0.012774,0.366068,0.000798,0.44511,0.067864,0.013573,0.055489,0.031936,0.002794
Bar Food,0.665211,0.146288,0.044396,0.112082,1.0,0.002911,0.298399,0.024745,0.195779,0.029112,0.04294,0.010917,0.007278,0.030568,0.180495,0.066958,0.005095,0.045852,0.012373,0.259825,0.018195,0.483261,0.010917,0.308588,0.065502,0.016012,0.047307,0.027656,0.002911
British Restaurants,0.166667,0.041667,0.069444,0.013889,0.055556,1.0,0.222222,0.027778,0.027778,0.0,0.0,0.0,0.069444,0.055556,0.069444,0.0,0.0,0.0,0.013889,0.055556,0.069444,0.388889,0.583333,0.138889,0.013889,0.013889,0.0,0.0,0.013889
Burgers,0.681569,0.112184,0.027897,0.087625,0.048879,0.001907,1.0,0.029924,0.136147,0.036004,0.036838,0.005842,0.004053,0.029447,0.127802,0.045541,0.003934,0.023724,0.01216,0.213996,0.016691,0.362661,0.008584,0.335956,0.049475,0.011087,0.036361,0.023367,0.002146
Cafes,0.584635,0.184896,0.045573,0.322917,0.044271,0.002604,0.326823,1.0,0.204427,0.108073,0.02474,0.010417,0.003906,0.035156,0.19401,0.065104,0.003906,0.039062,0.018229,0.268229,0.009115,0.389323,0.002604,0.390625,0.072917,0.016927,0.0625,0.045573,0.0
Chinese Restaurants,0.531429,0.363478,0.050435,0.105342,0.066832,0.000497,0.283727,0.039006,1.0,0.043478,0.043478,0.011925,0.004472,0.103354,0.165963,0.129689,0.008199,0.062609,0.014907,0.282733,0.01764,0.360745,0.002733,0.304596,0.105342,0.00795,0.103354,0.097391,0.005714
Coffee Shops,0.558999,0.175209,0.040524,0.284863,0.047676,0.0,0.359952,0.098927,0.208582,1.0,0.061979,0.007151,0.005959,0.042908,0.175209,0.073897,0.011919,0.060787,0.015495,0.299166,0.010727,0.390942,0.002384,0.418355,0.081049,0.010727,0.076281,0.041716,0.002384
