,Bakery,Candied & Chocolate Covered Fruit,Candy & Chocolate,Coffee,Condiments & Sauces,Cooking & Baking Ingredients,Dairy Products,Dips & Spreads,Food Gift Baskets,Frozen Desserts & Novelties,Fruit Flavored Drinks,Fruits & Vegetables,"Grains, Rice & Cereal",Hot Chocolate,Juice,"Meat, Seafood & Eggs",Milk,Non-Dairy Milk,Nuts & Seeds,Pasta & Noodles,Powdered Beverage Mixes,Prepared Foods,Prepared Meals,Seasonings & Spices,Snack Foods,Soda,Soups & Broths,Sports & Energy Drinks,Tea & Infusions,"Tofu, Soy & Vegetarian Products",Vinegar Drinks,Water
Bakery,1.0,0.004404,0.324045,0.210643,0.44697,0.413067,0.519426,0.385127,0.001036,0.256571,0.194295,0.50834,0.400862,0.013012,0.324219,0.512891,0.436897,0.081996,0.179649,0.32363,0.070262,0.351887,0.002708,0.277706,0.468627,0.290989,0.213091,0.136886,0.177387,0.026567,0.001559,0.290271
Candied & Chocolate Covered Fruit,0.004404,1.0,0.005517,0.00447,0.004096,0.004082,0.004892,0.004725,0.0,0.008649,0.005483,0.004512,0.004462,0.016949,0.006126,0.003783,0.005395,0.009227,0.007559,0.004734,0.002413,0.003258,0.013245,0.004237,0.003206,0.003428,0.004039,0.002534,0.006281,0.002976,0.0,0.003287
Candy & Chocolate,0.324045,0.005517,1.0,0.178669,0.312891,0.308367,0.330445,0.298989,0.001636,0.243323,0.175131,0.312168,0.304455,0.017193,0.265171,0.308054,0.315027,0.077421,0.174854,0.258166,0.068847,0.20895,0.001216,0.22075,0.326221,0.240246,0.180245,0.12727,0.153314,0.029731,0.000616,0.237844
Coffee,0.210643,0.00447,0.178669,1.0,0.221628,0.219337,0.232849,0.208389,0.001583,0.156534,0.124653,0.216184,0.223644,0.014725,0.187734,0.215502,0.226958,0.074153,0.133016,0.185763,0.058066,0.14223,0.002872,0.167083,0.202337,0.157793,0.14537,0.088569,0.143951,0.025478,0.001061,0.174094
Condiments & Sauces,0.44697,0.004096,0.312891,0.221628,1.0,0.441078,0.503229,0.409213,0.000984,0.254421,0.204686,0.499834,0.424548,0.014311,0.343304,0.488633,0.436574,0.097939,0.203116,0.367065,0.084154,0.308086,0.002608,0.319592,0.420541,0.292004,0.250038,0.138148,0.184449,0.032774,0.001812,0.296818
Cooking & Baking Ingredients,0.413067,0.004082,0.308367,0.219337,0.441078,1.0,0.465359,0.379453,0.000888,0.244431,0.191653,0.455536,0.408048,0.013715,0.322049,0.431359,0.412874,0.098524,0.211853,0.342891,0.083348,0.264216,0.000529,0.334792,0.387799,0.269934,0.234218,0.132187,0.193274,0.031497,0.001965,0.275757
Dairy Products,0.519426,0.004892,0.330445,0.232849,0.503229,0.465359,1.0,0.434057,0.000764,0.275186,0.212225,0.568167,0.43899,0.014733,0.358465,0.570472,0.499231,0.098498,0.199146,0.368328,0.079412,0.344414,0.001823,0.32182,0.466808,0.317816,0.240069,0.146534,0.195666,0.031659,0.001381,0.316139
Dips & Spreads,0.385127,0.004725,0.298989,0.208389,0.409213,0.379453,0.434057,1.0,0.00203,0.269491,0.213331,0.406191,0.387655,0.018032,0.327874,0.407738,0.414342,0.110448,0.201347,0.34616,0.084874,0.250557,0.001116,0.285666,0.357172,0.269106,0.247153,0.143919,0.177901,0.039626,0.001587,0.283467
Food Gift Baskets,0.001036,0.0,0.001636,0.001583,0.000984,0.000888,0.000764,0.00203,1.0,0.000721,0.000848,0.001061,0.001704,0.0,0.000836,0.001122,0.001174,0.0,0.002234,0.001117,0.002481,0.000616,0.007752,0.000911,0.000802,0.0,0.000452,0.0,0.00105,0.0,0.0,0.001651
Frozen Desserts & Novelties,0.256571,0.008649,0.243323,0.156534,0.254421,0.244431,0.275186,0.269491,0.000721,1.0,0.193244,0.254104,0.263068,0.026121,0.263836,0.265088,0.306464,0.090853,0.162347,0.24282,0.073006,0.172825,0.004274,0.205924,0.218597,0.209444,0.192897,0.110978,0.15166,0.041609,0.002185,0.215671
Fruit Flavored Drinks,0.194295,0.005483,0.175131,0.124653,0.204686,0.191653,0.212225,0.213331,0.000848,0.193244,1.0,0.197391,0.208066,0.015899,0.226987,0.209195,0.234051,0.083131,0.133183,0.199591,0.09365,0.129729,0.000416,0.164298,0.178113,0.18281,0.148963,0.140777,0.128791,0.032708,0.002144,0.21408
Fruits & Vegetables,0.50834,0.004512,0.312168,0.216184,0.499834,0.455536,0.568167,0.406191,0.001061,0.254104,0.197391,1.0,0.433251,0.012396,0.33761,0.560269,0.458992,0.090957,0.201908,0.343511,0.072652,0.345552,0.001187,0.311585,0.466546,0.294149,0.227509,0.131747,0.184416,0.029942,0.001731,0.299005
"Grains, Rice & Cereal",0.400862,0.004462,0.304455,0.223644,0.424548,0.408048,0.43899,0.387655,0.001704,0.263068,0.208066,0.433251,1.0,0.016824,0.346457,0.416406,0.446888,0.108185,0.224741,0.362625,0.086069,0.255812,0.001265,0.312054,0.385477,0.262106,0.247854,0.138182,0.192823,0.037879,0.001284,0.287496
Hot Chocolate,0.013012,0.016949,0.017193,0.014725,0.014311,0.013715,0.014733,0.018032,0.0,0.026121,0.015899,0.012396,0.016824,1.0,0.020291,0.013378,0.020437,0.015496,0.015398,0.016689,0.011853,0.010099,0.007722,0.01421,0.010943,0.012894,0.016031,0.005301,0.015959,0.022989,0.0,0.011263
Juice,0.324219,0.006126,0.265171,0.187734,0.343304,0.322049,0.358465,0.327874,0.000836,0.263836,0.226987,0.33761,0.346457,0.020291,1.0,0.34798,0.388948,0.105303,0.184216,0.307451,0.082873,0.209743,0.00359,0.258142,0.29545,0.249809,0.222317,0.140857,0.175439,0.0375,0.00253,0.27617
"Meat, Seafood & Eggs",0.512891,0.003783,0.308054,0.215502,0.488633,0.431359,0.570472,0.407738,0.001122,0.265088,0.209195,0.560269,0.416406,0.013378,0.34798,1.0,0.475427,0.091223,0.182952,0.344453,0.075503,0.359351,0.001952,0.295369,0.453433,0.303951,0.231761,0.141518,0.18287,0.029909,0.001689,0.308737
Milk,0.436897,0.005395,0.315027,0.226958,0.436574,0.412874,0.499231,0.414342,0.001174,0.306464,0.234051,0.458992,0.446888,0.020437,0.388948,0.475427,1.0,0.104061,0.203825,0.376974,0.092004,0.268189,0.001628,0.309728,0.374814,0.303155,0.261299,0.156981,0.20205,0.038382,0.001417,0.317546
Non-Dairy Milk,0.081996,0.009227,0.077421,0.074153,0.097939,0.098524,0.098498,0.110448,0.0,0.090853,0.083131,0.090957,0.108185,0.015496,0.105303,0.091223,0.104061,1.0,0.109923,0.09957,0.050033,0.052554,0.0,0.098755,0.073292,0.066208,0.100443,0.062476,0.067393,0.072493,0.001209,0.091945
Nuts & Seeds,0.179649,0.007559,0.174854,0.133016,0.203116,0.211853,0.199146,0.201347,0.002234,0.162347,0.133183,0.201908,0.224741,0.015398,0.184216,0.182952,0.203825,0.109923,1.0,0.185384,0.066931,0.109853,0.000437,0.211825,0.177456,0.134065,0.159416,0.100054,0.131199,0.041737,0.001354,0.164992
Pasta & Noodles,0.32363,0.004734,0.258166,0.185763,0.367065,0.342891,0.368328,0.34616,0.001117,0.24282,0.199591,0.343511,0.362625,0.016689,0.307451,0.344453,0.376974,0.09957,0.185384,1.0,0.090104,0.221355,0.000827,0.28334,0.298355,0.243523,0.249836,0.145798,0.176471,0.040098,0.002252,0.255098
Powdered Beverage Mixes,0.070262,0.002413,0.068847,0.058066,0.084154,0.083348,0.079412,0.084874,0.002481,0.073006,0.09365,0.072652,0.086069,0.011853,0.082873,0.075503,0.092004,0.050033,0.066931,0.090104,1.0,0.04403,0.001175,0.082166,0.066998,0.064465,0.081798,0.080743,0.054444,0.013699,0.0,0.074914
Prepared Foods,0.351887,0.003258,0.20895,0.14223,0.308086,0.264216,0.344414,0.250557,0.000616,0.172825,0.129729,0.345552,0.255812,0.010099,0.209743,0.359351,0.268189,0.052554,0.109853,0.221355,0.04403,1.0,0.003252,0.174291,0.32261,0.208305,0.143595,0.088279,0.127082,0.018886,0.000882,0.195435
Prepared Meals,0.002708,0.013245,0.001216,0.002872,0.002608,0.000529,0.001823,0.001116,0.007752,0.004274,0.000416,0.001187,0.001265,0.007722,0.00359,0.001952,0.001628,0.0,0.000437,0.000827,0.001175,0.003252,1.0,0.000599,0.002054,0.002343,0.000443,0.000501,0.00207,0.0,0.0,0.000272
Seasonings & Spices,0.277706,0.004237,0.22075,0.167083,0.319592,0.334792,0.32182,0.285666,0.000911,0.205924,0.164298,0.311585,0.312054,0.01421,0.258142,0.295369,0.309728,0.098755,0.211825,0.28334,0.082166,0.174291,0.000599,1.0,0.253094,0.195504,0.228591,0.117265,0.167083,0.039233,0.001838,0.215439
Snack Foods,0.468627,0.003206,0.326221,0.202337,0.420541,0.387799,0.466808,0.357172,0.000802,0.218597,0.178113,0.466546,0.385477,0.010943,0.29545,0.453433,0.374814,0.073292,0.177456,0.298355,0.066998,0.32261,0.002054,0.253094,1.0,0.28628,0.193148,0.135532,0.163635,0.02375,0.001264,0.269179
Soda,0.290989,0.003428,0.240246,0.157793,0.292004,0.269934,0.317816,0.269106,0.0,0.209444,0.18281,0.294149,0.262106,0.012894,0.249809,0.303951,0.303155,0.066208,0.134065,0.243523,0.064465,0.208305,0.002343,0.195504,0.28628,1.0,0.178441,0.142207,0.144352,0.020881,0.001079,0.24924
Soups & Broths,0.213091,0.004039,0.180245,0.14537,0.250038,0.234218,0.240069,0.247153,0.000452,0.192897,0.148963,0.227509,0.247854,0.016031,0.222317,0.231761,0.261299,0.100443,0.159416,0.249836,0.081798,0.143595,0.000443,0.228591,0.193148,0.178441,1.0,0.122937,0.141909,0.039149,0.004587,0.191736
Sports & Energy Drinks,0.136886,0.002534,0.12727,0.088569,0.138148,0.132187,0.146534,0.143919,0.0,0.110978,0.140777,0.131747,0.138182,0.005301,0.140857,0.141518,0.156981,0.062476,0.100054,0.145798,0.080743,0.088279,0.000501,0.117265,0.135532,0.142207,0.122937,1.0,0.097702,0.008314,0.001037,0.161256
Tea & Infusions,0.177387,0.006281,0.153314,0.143951,0.184449,0.193274,0.195666,0.177901,0.00105,0.15166,0.128791,0.184416,0.192823,0.015959,0.175439,0.18287,0.20205,0.067393,0.131199,0.176471,0.054444,0.127082,0.00207,0.167083,0.163635,0.144352,0.141909,0.097702,1.0,0.024884,0.001766,0.156898
"Tofu, Soy & Vegetarian Products",0.026567,0.002976,0.029731,0.025478,0.032774,0.031497,0.031659,0.039626,0.0,0.041609,0.032708,0.029942,0.037879,0.022989,0.0375,0.029909,0.038382,0.072493,0.041737,0.040098,0.013699,0.018886,0.0,0.039233,0.02375,0.020881,0.039149,0.008314,0.024884,1.0,0.0,0.028177
Vinegar Drinks,0.001559,0.0,0.000616,0.001061,0.001812,0.001965,0.001381,0.001587,0.0,0.002185,0.002144,0.001731,0.001284,0.0,0.00253,0.001689,0.001417,0.001209,0.001354,0.002252,0.0,0.000882,0.0,0.001838,0.001264,0.001079,0.004587,0.001037,0.001766,0.0,1.0,0.001107
Water,0.290271,0.003287,0.237844,0.174094,0.296818,0.275757,0.316139,0.283467,0.001651,0.215671,0.21408,0.299005,0.287496,0.011263,0.27617,0.308737,0.317546,0.091945,0.164992,0.255098,0.074914,0.195435,0.000272,0.215439,0.269179,0.24924,0.191736,0.161256,0.156898,0.028177,0.001107,1.0
